model,distance
Engstrom2019Robustness,0.0
Engstrom2019Robustness,0.029470205307006836
Engstrom2019Robustness,0.14221495389938354
Engstrom2019Robustness,0.0071044862270355225
Engstrom2019Robustness,0.24666845798492432
Engstrom2019Robustness,0.0679512619972229
Engstrom2019Robustness,0.04915940761566162
Engstrom2019Robustness,0.023034721612930298
Engstrom2019Robustness,0.06226053833961487
Engstrom2019Robustness,0.025315403938293457
Engstrom2019Robustness,0.0888744592666626
Engstrom2019Robustness,0.026742219924926758
Engstrom2019Robustness,0.1904294788837433
Engstrom2019Robustness,0.0
Engstrom2019Robustness,0.17244815826416016
Engstrom2019Robustness,0.0
Engstrom2019Robustness,0.0450265109539032
Engstrom2019Robustness,0.007289916276931763
Engstrom2019Robustness,0.038242220878601074
Engstrom2019Robustness,0.05224132537841797
